Support Library class,AndroidX class,Similarity,Support,AndroidX,Percentage
android.support.v4.os.UserManagerCompat,androidx.core.os.UserManagerCompat,0.8361,2,4950,0.04%
android.support.v4.provider.DocumentFile,androidx.documentfile.provider.DocumentFile,0.9974,2,477,0.42%
android.support.v4.provider.FontRequest,androidx.core.provider.FontRequest,0.993,2,100,2.00%
android.support.v4.text.BidiFormatter,androidx.core.text.BidiFormatter,1,2,5141,0.04%
android.support.v4.text.HtmlCompat,androidx.core.text.HtmlCompat,0.9941,2,1313,0.15%
android.support.v4.util.DebugUtils,androidx.core.util.DebugUtils,1,2,42,4.76%
android.support.v4.util.LogWriter,androidx.core.util.LogWriter,1,2,7,28.57%
android.support.v4.view.ActionProvider,androidx.core.view.ActionProvider,1,2,91,2.20%
android.support.v4.view.NestedScrollingParent,androidx.core.view.NestedScrollingParent,1,2,81,2.47%
android.support.v4.view.ViewGroupCompat,androidx.core.view.ViewGroupCompat,0.9888,2,32,6.25%
android.support.v4.widget.CircularProgressDrawable,androidx.swiperefreshlayout.widget.CircularProgressDrawable,1,2,229,0.87%
android.support.v4.widget.ListViewAutoScrollHelper,androidx.core.widget.ListViewAutoScrollHelper,1,2,43,4.65%
android.support.v7.app.MediaRouteControllerDialog,androidx.mediarouter.app.MediaRouteControllerDialog,0.9997,2,31,6.45%
android.support.v7.app.MediaRouteControllerDialogFragment,androidx.mediarouter.app.MediaRouteControllerDialogFragment,0.9664,2,44,4.55%
android.support.v7.app.MediaRouteDialogFactory,androidx.mediarouter.app.MediaRouteDialogFactory,1,2,96,2.08%
android.support.v7.app.WindowDecorActionBar,androidx.appcompat.app.WindowDecorActionBar,0.9999,2,15,13.33%
android.support.v7.preference.PreferenceDialogFragmentCompat,androidx.preference.PreferenceDialogFragmentCompat,0.9989,2,109,1.83%
android.support.v7.preference.PreferenceGroupAdapter,androidx.preference.PreferenceGroupAdapter,0.9457,2,33,6.06%
android.support.v7.preference.PreferenceViewHolder,androidx.preference.PreferenceViewHolder,0.9613,2,196,1.02%
android.support.v7.recyclerview.extensions.AsyncListDiffer,androidx.recyclerview.widget.AsyncListDiffer,0.9797,2,227,0.88%
android.support.v7.util.AdapterListUpdateCallback,androidx.recyclerview.widget.AdapterListUpdateCallback,1,2,176,1.14%
android.support.v7.view.menu.MenuView,androidx.appcompat.view.menu.MenuView,1,2,4890,0.04%
android.support.v7.widget.AlertDialogLayout,androidx.appcompat.widget.AlertDialogLayout,1,2,62,3.23%
android.support.v7.widget.ButtonBarLayout,androidx.appcompat.widget.ButtonBarLayout,0.9922,2,65,3.08%
android.support.v7.widget.DialogTitle,androidx.appcompat.widget.DialogTitle,0.9671,2,56,3.57%
android.support.v7.widget.ToolbarWidgetWrapper,androidx.appcompat.widget.ToolbarWidgetWrapper,1,2,64,3.12%
android.support.animation.FloatPropertyCompat,androidx.dynamicanimation.animation.FloatPropertyCompat,1,1,3261,0.03%
android.support.constraint.solver.Cache,androidx.constraintlayout.solver.Cache,1,1,4,25.00%
android.support.constraint.solver.widgets.Chain,androidx.constraintlayout.solver.widgets.Chain,1,1,2,50.00%
android.support.graphics.drawable.AnimatedVectorDrawableCompat,androidx.vectordrawable.graphics.drawable.AnimatedVectorDrawableCompat,0.9999,1,1030,0.10%
android.support.graphics.drawable.VectorDrawableCommon,androidx.vectordrawable.graphics.drawable.VectorDrawableCommon,0.9994,1,26,3.85%
android.support.multidex.MultiDexExtractor,androidx.multidex.MultiDexExtractor,0.9922,1,80,1.25%
android.support.percent.PercentFrameLayout,androidx.percentlayout.widget.PercentFrameLayout,1,1,18,5.56%
android.support.percent.PercentRelativeLayout,androidx.percentlayout.widget.PercentRelativeLayout,1,1,26,3.85%
android.support.test.espresso.idling.CountingIdlingResource,androidx.test.espresso.idling.CountingIdlingResource,0.9961,1,106,0.94%
android.support.transition.ChangeBounds,androidx.transition.ChangeBounds,1,1,1193,0.08%
android.support.transition.ChangeTransform,androidx.transition.ChangeTransform,0.9984,1,916,0.11%
android.support.transition.FragmentTransitionSupport,androidx.transition.FragmentTransitionSupport,0.9983,1,7,14.29%
android.support.transition.PathMotion,androidx.transition.PathMotion,1,1,3625,0.03%
android.support.v14.preference.SwitchPreference,androidx.preference.SwitchPreference,1,1,105,0.95%
android.support.v4.app.ActivityManagerCompat,androidx.core.app.ActivityManagerCompat,1,1,22,4.55%
android.support.v4.app.BundleCompat,androidx.core.app.BundleCompat,0.9765,1,853,0.12%
android.support.v4.app.FragmentManagerImpl,androidx.fragment.app.FragmentManagerImpl,0.4595,1,11,9.09%
android.support.v4.app.FragmentManagerNonConfig,androidx.fragment.app.FragmentManagerNonConfig,0.5093,1,25,4.00%
android.support.v4.app.NotificationBuilderWithBuilderAccessor,androidx.core.app.NotificationBuilderWithBuilderAccessor,1,1,2,50.00%
android.support.v4.app.SharedElementCallback,androidx.core.app.SharedElementCallback,1,1,138,0.72%
android.support.v4.content.ModernAsyncTask,androidx.loader.content.ModernAsyncTask,0.9602,1,121,0.83%
android.support.v4.content.pm.PackageInfoCompat,androidx.core.content.pm.PackageInfoCompat,0.4054,1,2566,0.04%
android.support.v4.content.pm.ShortcutInfoCompat,androidx.core.content.pm.ShortcutInfoCompat,0.8757,1,60,1.67%
android.support.v4.content.pm.ShortcutManagerCompat,androidx.core.content.pm.ShortcutManagerCompat,0.7973,1,143,0.70%
android.support.v4.graphics.BitmapCompat,androidx.core.graphics.BitmapCompat,0.6931,1,23,4.35%
android.support.v4.graphics.drawable.RoundedBitmapDrawable21,androidx.core.graphics.drawable.RoundedBitmapDrawable21,1,1,12,8.33%
android.support.v4.graphics.drawable.TintAwareDrawable,androidx.core.graphics.drawable.TintAwareDrawable,1,1,4958,0.02%
android.support.v4.graphics.TypefaceCompat,androidx.core.graphics.TypefaceCompat,0.9555,1,79,1.27%
android.support.v4.graphics.TypefaceCompatUtil,androidx.core.graphics.TypefaceCompatUtil,0.9625,1,51,1.96%
android.support.v4.hardware.display.DisplayManagerCompat,androidx.core.hardware.display.DisplayManagerCompat,0.9955,1,36,2.78%
android.support.v4.internal.view.SupportMenuItem,androidx.core.internal.view.SupportMenuItem,0.9796,1,611,0.16%
android.support.v4.os.ParcelableCompatCreatorCallbacks,androidx.core.os.ParcelableCompatCreatorCallbacks,1,1,0,0
android.support.v4.provider.FontsContractCompat,androidx.core.provider.FontsContractCompat,0.5807,1,38,2.63%
android.support.v4.util.AtomicFile,androidx.core.util.AtomicFile,0.9582,1,117,0.85%
android.support.v4.view.PointerIconCompat,androidx.core.view.PointerIconCompat,0.969,1,5042,0.02%
android.support.v4.view.ViewParentCompat,androidx.core.view.ViewParentCompat,0.9827,1,12,8.33%
android.support.v4.view.ViewPropertyAnimatorListener,androidx.core.view.ViewPropertyAnimatorListener,1,1,37,2.70%
android.support.v4.widget.AutoSizeableTextView,androidx.core.widget.AutoSizeableTextView,1,1,44,2.27%
android.support.v4.widget.FocusStrategy,androidx.customview.widget.FocusStrategy,1,1,2,50.00%
android.support.v7.app.AppCompatDelegateImpl,androidx.appcompat.app.AppCompatDelegateImpl,0.9867,1,171,0.58%
android.support.v7.app.MediaRouteExpandCollapseButton,androidx.mediarouter.app.MediaRouteExpandCollapseButton,0.9995,1,33,3.03%
android.support.v7.app.NavItemSelectedListener,androidx.appcompat.app.NavItemSelectedListener,1,1,0,0
android.support.v7.app.ToolbarActionBar,androidx.appcompat.app.ToolbarActionBar,0.998,1,3,33.33%
android.support.v7.graphics.ColorCutQuantizer,androidx.palette.graphics.ColorCutQuantizer,1,1,11,9.09%
android.support.v7.graphics.Target,androidx.palette.graphics.Target,1,1,27,3.70%
android.support.v7.preference.EditTextPreferenceDialogFragmentCompat,androidx.preference.EditTextPreferenceDialogFragmentCompat,0.9527,1,17,5.88%
android.support.v7.preference.ListPreferenceDialogFragmentCompat,androidx.preference.ListPreferenceDialogFragmentCompat,1,1,26,3.85%
android.support.v7.preference.MultiSelectListPreferenceDialogFragmentCompat,androidx.preference.MultiSelectListPreferenceDialogFragmentCompat,0.9729,1,7,14.29%
android.support.v7.preference.SwitchPreferenceCompat,androidx.preference.SwitchPreferenceCompat,1,1,219,0.46%
android.support.v7.util.BatchingListUpdateCallback,androidx.recyclerview.widget.BatchingListUpdateCallback,1,1,6,16.67%
android.support.v7.view.menu.ActionMenuItem,androidx.appcompat.view.menu.ActionMenuItem,0.9996,1,5,20.00%
android.support.v7.view.menu.CascadingMenuPopup,androidx.appcompat.view.menu.CascadingMenuPopup,1,1,9,11.11%
android.support.v7.view.menu.ExpandedMenuView,androidx.appcompat.view.menu.ExpandedMenuView,1,1,53,1.89%
android.support.v7.view.menu.ListMenuPresenter,androidx.appcompat.view.menu.ListMenuPresenter,1,1,16,6.25%
android.support.v7.view.menu.MenuAdapter,androidx.appcompat.view.menu.MenuAdapter,1,1,58,1.72%
android.support.v7.view.menu.MenuItemWrapperICS,androidx.appcompat.view.menu.MenuItemWrapperICS,0.9383,1,88,1.14%
android.support.v7.view.menu.MenuWrapperFactory,androidx.appcompat.view.menu.MenuWrapperFactory,-1,1,1,100.00%
android.support.v7.view.WindowCallbackWrapper,androidx.appcompat.view.WindowCallbackWrapper,0.9921,1,25,4.00%
android.support.v7.widget.AbsActionBarView,androidx.appcompat.widget.AbsActionBarView,1,1,6,16.67%
android.support.v7.widget.AppCompatCompoundButtonHelper,androidx.appcompat.widget.AppCompatCompoundButtonHelper,0.9814,1,2,50.00%
android.support.v7.widget.DropDownListView,androidx.appcompat.widget.DropDownListView,0.9858,1,9,11.11%
android.support.v7.widget.FitWindowsFrameLayout,androidx.appcompat.widget.FitWindowsFrameLayout,1,1,58,1.72%
android.support.v7.widget.FitWindowsLinearLayout,androidx.appcompat.widget.FitWindowsLinearLayout,1,1,56,1.79%
android.support.v7.widget.helper.ItemTouchUIUtil,androidx.recyclerview.widget.ItemTouchUIUtil,1,1,157,0.64%
android.support.v7.widget.TintContextWrapper,androidx.appcompat.widget.TintContextWrapper,1,1,87,1.15%
