Support Library class,Android X class,Similarity,Support,AndroidX,Percentage
android.support.v7.widget.AppCompatCheckBox,androidx.appcompat.widget.AppCompatCheckBox,0.8499,61,6878,0.89%
android.support.v7.widget.ActionMenuView,androidx.appcompat.widget.ActionMenuView,1,60,1149,5.22%
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat,androidx.core.view.accessibility.AccessibilityNodeInfoCompat,0.9943,58,5297,1.09%
android.support.v7.view.menu.ListMenuItemView,androidx.appcompat.view.menu.ListMenuItemView,0.9999,58,1036,5.6%
android.support.v7.widget.ActionBarOverlayLayout,androidx.appcompat.widget.ActionBarOverlayLayout,0.9912,58,1986,2.92%
android.support.v4.widget.NestedScrollView,androidx.core.widget.NestedScrollView,0.9979,57,3586,1.59%
android.support.v7.app.AlertDialog,androidx.appcompat.app.AlertDialog,1,57,1778,3.21%
android.support.v7.view.menu.ActionMenuItemView,androidx.appcompat.view.menu.ActionMenuItemView,0.9994,56,4000,1.4%
android.support.v4.app.RemoteInput,androidx.core.app.RemoteInput,0.6765,54,954,5.66%
android.support.v7.app.AppCompatViewInflater,androidx.appcompat.app.AppCompatViewInflater,0.9933,53,5621,0.94%
android.support.v7.widget.ContentFrameLayout,androidx.appcompat.widget.ContentFrameLayout,1,53,1897,2.79%
android.support.v7.widget.ViewStubCompat,androidx.appcompat.widget.ViewStubCompat,0.9999,53,1895,2.8%
android.support.v4.view.MenuItemCompat,androidx.core.view.MenuItemCompat,0.9912,51,671,7.6%
android.support.v4.app.TaskStackBuilder,androidx.core.app.TaskStackBuilder,0.9968,50,940,5.32%
android.support.v4.widget.ViewDragHelper,androidx.customview.widget.ViewDragHelper,0.9999,49,5306,0.92%
android.support.v7.widget.TintTypedArray,androidx.appcompat.widget.TintTypedArray,0.9994,49,5380,0.91%
android.support.design.widget.CoordinatorLayout,androidx.coordinatorlayout.widget.CoordinatorLayout,0.9993,47,9415,0.5%
android.support.v4.view.animation.PathInterpolatorCompat,androidx.core.view.animation.PathInterpolatorCompat,0.973,47,3663,1.28%
android.support.v7.widget.PagerSnapHelper,androidx.recyclerview.widget.PagerSnapHelper,0.9951,47,3735,1.26%
android.support.constraint.ConstraintLayout,androidx.constraintlayout.widget.ConstraintLayout,0.9984,44,7557,0.58%
android.support.v7.widget.AppCompatSpinner,androidx.appcompat.widget.AppCompatSpinner,0.9604,44,2396,1.84%
android.support.v7.widget.DividerItemDecoration,androidx.recyclerview.widget.DividerItemDecoration,0.9995,44,1443,3.05%
android.support.v7.widget.AppCompatImageButton,androidx.appcompat.widget.AppCompatImageButton,0.9969,43,6768,0.64%
android.support.v7.app.AppCompatDelegate,androidx.appcompat.app.AppCompatDelegate,0.84,42,2068,2.03%
android.support.media.ExifInterface,androidx.exifinterface.media.ExifInterface,0.9916,41,4095,1.0%
android.support.v4.view.animation.FastOutSlowInInterpolator,androidx.interpolator.view.animation.FastOutSlowInInterpolator,1,41,5216,0.79%
android.support.v4.view.AccessibilityDelegateCompat,androidx.core.view.AccessibilityDelegateCompat,0.9327,40,5285,0.76%
android.support.v7.widget.AppCompatAutoCompleteTextView,androidx.appcompat.widget.AppCompatAutoCompleteTextView,0.9449,40,5013,0.8%
android.support.v7.widget.DefaultItemAnimator,androidx.recyclerview.widget.DefaultItemAnimator,1,39,1588,2.46%
android.support.v4.view.ViewConfigurationCompat,androidx.core.view.ViewConfigurationCompat,0.9948,38,490,7.76%
android.support.v4.view.ViewPropertyAnimatorCompat,androidx.core.view.ViewPropertyAnimatorCompat,0.9986,38,1262,3.01%
android.support.v7.app.AppCompatDialogFragment,androidx.appcompat.app.AppCompatDialogFragment,0.9882,38,5269,0.72%
android.support.v4.app.NavUtils,androidx.core.app.NavUtils,0.9854,37,254,14.57%
android.support.v4.os.TraceCompat,androidx.core.os.TraceCompat,0.6551,37,1597,2.32%
android.support.v4.util.SparseArrayCompat,androidx.collection.SparseArrayCompat,0.9983,36,2288,1.57%
android.support.v7.widget.SnapHelper,androidx.recyclerview.widget.SnapHelper,1,36,4824,0.75%
android.support.v7.widget.AppCompatRadioButton,androidx.appcompat.widget.AppCompatRadioButton,0.8781,35,6161,0.57%
android.support.v4.app.ListFragment,androidx.fragment.app.ListFragment,0.9981,34,501,6.79%
android.support.v4.view.VelocityTrackerCompat,androidx.core.view.VelocityTrackerCompat,1,33,397,8.31%
android.support.v4.app.ActivityOptionsCompat,androidx.core.app.ActivityOptionsCompat,0.9953,31,795,3.9%
android.support.v4.content.CursorLoader,androidx.loader.content.CursorLoader,0.9995,31,798,3.88%
android.support.v7.media.MediaRouter,androidx.mediarouter.media.MediaRouter,0.9869,31,299,10.37%
android.support.v7.preference.PreferenceFragmentCompat,androidx.preference.PreferenceFragmentCompat,0.9881,31,567,5.47%
android.support.v7.view.ContextThemeWrapper,androidx.appcompat.view.ContextThemeWrapper,0.9753,30,5038,0.6%
android.support.v7.widget.PopupMenu,androidx.appcompat.widget.PopupMenu,0.9993,30,975,3.08%
android.support.v7.app.AppCompatDialog,androidx.appcompat.app.AppCompatDialog,0.9854,29,5174,0.56%
android.support.v4.view.animation.FastOutLinearInInterpolator,androidx.interpolator.view.animation.FastOutLinearInInterpolator,1,28,5189,0.54%
android.support.v7.widget.AppCompatSeekBar,androidx.appcompat.widget.AppCompatSeekBar,0.9973,28,2146,1.3%
android.support.v7.widget.SimpleItemAnimator,androidx.recyclerview.widget.SimpleItemAnimator,1,28,1700,1.65%
android.support.v4.text.TextUtilsCompat,androidx.core.text.TextUtilsCompat,0.9997,27,1427,1.89%
android.support.v7.graphics.drawable.DrawerArrowDrawable,androidx.appcompat.graphics.drawable.DrawerArrowDrawable,1,27,411,6.57%
android.support.v7.widget.helper.ItemTouchHelper,androidx.recyclerview.widget.ItemTouchHelper,1,27,1873,1.44%
android.support.v7.widget.LinearSnapHelper,androidx.recyclerview.widget.LinearSnapHelper,0.9985,27,2146,1.26%
android.support.v4.app.JobIntentService,androidx.core.app.JobIntentService,0.9998,25,1156,2.16%
android.support.v4.widget.EdgeEffectCompat,androidx.core.widget.EdgeEffectCompat,0.9738,25,326,7.67%
android.support.v7.app.MediaRouteActionProvider,androidx.mediarouter.app.MediaRouteActionProvider,0.9907,24,350,6.86%
android.support.v4.net.ConnectivityManagerCompat,androidx.core.net.ConnectivityManagerCompat,0.9953,23,509,4.52%
android.support.v4.view.animation.LinearOutSlowInInterpolator,androidx.interpolator.view.animation.LinearOutSlowInInterpolator,1,23,5187,0.44%
android.support.v4.widget.ScrollerCompat,androidx.core.widget.ScrollerCompat,1,23,317,7.26%
android.support.v7.app.MediaRouteButton,androidx.mediarouter.app.MediaRouteButton,0.9845,23,338,6.8%
android.support.v7.widget.OrientationHelper,androidx.recyclerview.widget.OrientationHelper,1,22,1419,1.55%
android.support.test.InstrumentationRegistry,androidx.test.InstrumentationRegistry,0.385,21,22,95.45%
android.support.v7.media.MediaRouteSelector,androidx.mediarouter.media.MediaRouteSelector,0.997,20,266,7.52%
android.support.v7.widget.LinearLayoutCompat,androidx.appcompat.widget.LinearLayoutCompat,1,20,6849,0.29%
android.support.v4.app.NotificationCompat,androidx.core.app.NotificationCompat,1,19,833,2.28%
android.support.v7.widget.ListPopupWindow,androidx.appcompat.widget.ListPopupWindow,0.9992,19,4794,0.4%
android.support.customtabs.CustomTabsCallback,androidx.browser.customtabs.CustomTabsCallback,0.9939,18,770,2.34%
android.support.v7.preference.CheckBoxPreference,androidx.preference.CheckBoxPreference,1,18,230,7.83%
android.support.v7.preference.Preference,androidx.preference.Preference,0.9991,18,1335,1.35%
android.support.v4.os.CancellationSignal,androidx.core.os.CancellationSignal,0.9902,17,187,9.09%
android.support.v7.util.DiffUtil,androidx.recyclerview.widget.DiffUtil,0.9636,17,1282,1.33%
android.support.v4.widget.TextViewCompat,androidx.core.widget.TextViewCompat,0.9861,16,5219,0.31%
android.support.v7.app.AlertController,androidx.appcompat.app.AlertController,1,16,1450,1.1%
android.support.v4.app.BackStackState,androidx.fragment.app.BackStackState,0.6936,15,92,16.3%
android.support.v4.app.FragmentState,androidx.fragment.app.FragmentState,0.9464,15,246,6.1%
android.support.v4.os.ParcelableCompat,androidx.core.os.ParcelableCompat,1,15,512,2.93%
android.support.v4.widget.CompoundButtonCompat,androidx.core.widget.CompoundButtonCompat,0.9863,15,4746,0.32%
android.support.v4.widget.ImageViewCompat,androidx.core.widget.ImageViewCompat,0.9726,15,1166,1.29%
android.support.v4.app.FragmentManagerState,androidx.fragment.app.FragmentManagerState,0.8327,14,92,15.22%
android.support.v4.hardware.fingerprint.FingerprintManagerCompat,androidx.core.hardware.fingerprint.FingerprintManagerCompat,0.8579,14,133,10.53%
android.support.v4.view.MarginLayoutParamsCompat,androidx.core.view.MarginLayoutParamsCompat,0.9744,14,5078,0.28%
android.support.v4.view.NestedScrollingChildHelper,androidx.core.view.NestedScrollingChildHelper,0.9875,14,508,2.76%
android.support.v4.widget.CursorAdapter,androidx.cursoradapter.widget.CursorAdapter,1,14,268,5.22%
android.support.v4.widget.ExploreByTouchHelper,androidx.customview.widget.ExploreByTouchHelper,0.9999,14,5166,0.27%
android.support.v4.widget.PopupWindowCompat,androidx.core.widget.PopupWindowCompat,0.996,14,700,2.0%
android.support.v7.preference.PreferenceGroup,androidx.preference.PreferenceGroup,0.9979,14,755,1.85%
android.support.graphics.drawable.VectorDrawableCompat,androidx.vectordrawable.graphics.drawable.VectorDrawableCompat,0.9999,13,846,1.54%
android.support.v4.view.NestedScrollingChild,androidx.core.view.NestedScrollingChild,1,13,225,5.78%
