support,androidx,similarity,manual check
android.support.design.expandable.ExpandableTransformationWidget,androidx.core.view.NestedScrollingChild3,50.56%,0
android.support.design.widget.BottomSheetDialogFragment,androidx.core.view.accessibility.AccessibilityViewCommand,50.63%,0
android.support.media2.SessionPlaylistAgentImplBase,androidx.compose.SlotTable,50.64%,0
android.support.wearable.watchface.decomposition.GlyphDescriptor,androidx.health.services.client.impl.IPassiveListenerService,50.70%,0
android.support.v4.media.MediaBrowserCompatApi23,androidx.tracing.TraceApi18Impl,50.70%,0
android.support.design.widget.CircularBorderDrawableLollipop,androidx.wear.watchface.complications.rendering.utils.IconLayoutHelper,50.99%,0
android.support.v4.media.AudioAttributesImpl,androidx.compose.runtime.BitwiseOperatorsKt,51.01%,0
android.support.media2.MediaController2ImplBase,androidx.appcompat.app.AppLocalesStorageHelper,51.01%,0
android.support.design.expandable.ExpandableWidget,androidx.compose.ui.window.PopupProperties,51.14%,0
android.support.test.services.speakeasy.server.R,androidx.compose.runtime.BitwiseOperatorsKt,51.21%,0
android.support.wearable.view.ViewportDrawable,androidx.slice.widget.SliceViewUtil,51.31%,0
android.support.design.internal.FlexItem,androidx.core.view.NestedScrollingChild3,51.33%,0
android.support.design.internal.TextScale,androidx.databinding.adapters.TextViewBindingAdapter,51.34%,0
android.support.media2.SubtitleData2,androidx.media2.common.SubtitleData,51.74%,0
android.support.design.button.MaterialButtonBackgroundDrawable,androidx.appcompat.graphics.drawable.DrawableWrapperCompat,52.01%,0
android.support.wearable.complications.ComplicationManager,androidx.media3.common.util.GlProgram,52.13%,0
android.support.design.transformation.FabTransformationScrimBehavior,androidx.test.core.view.ViewCapture,52.50%,0
android.support.wearable.view.drawer.WearableDrawerView,androidx.databinding.adapters.ViewBindingAdapter,52.75%,0
android.support.wearable.view.WearableRecyclerView,androidx.wear.protolayout.renderer.inflater.ProtoLayoutInflater,52.78%,0
android.support.v4.media.AudioAttributesImplBaseParcelizer,androidx.media.AudioAttributesImplBaseParcelizer,52.79%,1
android.support.design.internal.BottomNavigationPresenter,kotlin.jvm.internal.InlineMarker,52.81%,0
android.support.wearable.view.ConfirmationOverlay,androidx.databinding.adapters.ViewBindingAdapter,52.83%,0
android.support.wearable.standalone.StandaloneConstants,androidx.media2.common.ClassVerificationHelper,52.89%,0
android.support.media2.CallbackDataSource2,androidx.datastore.preferences.protobuf.CodedOutputStream,52.97%,0
android.support.design.shape.MaterialShapeDrawable,androidx.camera.core.impl.utils.TransformUtils,53.02%,0
android.support.media2.MediaController2ImplLegacy,com.google.devtools.build.android.desugar.runtime.ThrowableExtension,53.43%,0
android.support.design.animation.ChildrenAlphaProperty,androidx.ui.node.UiApplyAdapter,53.47%,0
android.support.design.animation.DrawableAlphaProperty,androidx.compose.foundation.layout.IntrinsicMeasureBlocks,53.59%,0
android.support.design.internal.NavigationMenuItemView,androidx.wear.tiles.renderer.internal.TileRendererInternal,53.76%,0
android.support.wearable.view.CrossfadeDrawable,androidx.appcompat.graphics.drawable.DrawableWrapperCompat,53.78%,0
android.support.v4.media.MediaBrowserCompat,androidx.browser.trusted.TrustedWebActivityServiceConnection,53.88%,0
android.support.design.widget.CheckableImageButton,androidx.wear.input.SharedLibraryVersion,54.11%,0
android.support.design.chip.ChipDrawable,androidx.camera.core.impl.utils.TransformUtils,54.36%,0
android.support.media2.MediaSession2Stub,androidx.appsearch.app.AppSearchSchema,54.57%,0
android.support.wearable.activity.WearableActivity,androidx.health.connect.client.records.UtilsKt,54.60%,0
android.support.media2.SessionCommandGroup2,androidx.media2.session.MediaUtils,54.67%,0
android.support.wearable.watchface.decomposition.KerningPair,androidx.media2.IMediaController,54.83%,0
android.support.wearable.activity.WearableActivityDelegate,androidx.test.internal.runner.ClassPathScanner,54.89%,0
android.support.wearable.preference.AcceptDenyDialogPreference,androidx.slice.widget.SliceViewUtil,55.03%,0
android.support.wearable.input.RemoteInputIntent,androidx.camera.camera2.internal.CameraDeviceId,55.05%,0
android.support.wearable.view.WearableDialogActivity,androidx.wear.tiles.renderer.internal.TileRendererInternal,55.14%,0
android.support.design.widget.FloatingActionButtonImplLollipop,androidx.ui.material.SliderKt,55.27%,0
