support,androidx,similarity,manual check
android.support.design.internal.BottomNavigationMenuView,androidx.compose.ui.node.MyersDiffKt,71.15%,0
android.support.wearable.complications.ComplicationData,androidx.media3.extractor.text.ssa.SsaDecoder,71.29%,0
android.support.wearable.view.CircularButton,androidx.slice.widget.SliceViewUtil,71.37%,0
android.support.wearable.view.ActionPage,androidx.wear.tiles.renderer.RatioViewWrapper,71.56%,0
android.support.design.transformation.FabTransformationBehavior,androidx.databinding.adapters.ViewBindingAdapter,71.59%,0
android.support.wearable.view.CardScrollView,androidx.media3.extractor.VorbisUtil,71.63%,0
android.support.wearable.watchface.SharedMemoryImage,androidx.wear.watchface.control.IWatchFaceInstanceServiceStub,71.86%,0
android.support.test.orchestrator.listeners.OrchestrationXmlTestRunListener,android.databinding.tool.util.ParserHelper,72.07%,0
android.support.wearable.watchface.decomposition.WatchFaceDecomposition,androidx.media3.exoplayer.hls.playlist.HlsMultivariantPlaylist,72.11%,0
android.support.design.animation.MotionSpec,com.google.protobuf.MessageLiteToString,72.12%,0
android.support.design.internal.BottomNavigationMenu,androidx.slice.widget.SliceViewUtil,72.12%,0
android.support.test.internal.runner.lifecycle.ActivityLifecycleMonitorRegistry,androidx.test.platform.app.InstrumentationRegistry,72.27%,0
android.support.media2.SessionToken2ImplBase,android.databinding.tool.util.ParserHelper,72.39%,0
android.support.test.internal.runner.TestLoader,androidx.work.impl.utils.ProcessUtils,72.57%,0
android.support.design.snackbar.ContentViewCallback,androidx.core.view.NestedScrollingChild3,72.65%,0
android.support.wearable.complications.CharSequenceSerializableHelper,androidx.work.impl.constraints.trackers.BatteryChargingTracker,72.67%,0
android.support.design.widget.VisibilityAwareImageButton,androidx.wear.tiles.renderer.internal.ImageViewWithoutIntrinsicSizes,72.68%,0
android.support.design.circularreveal.CircularRevealCompat,androidx.media2.widget.AnimatorUtil,72.93%,0
android.support.wearable.provider.WearableCalendarContract,androidx.wear.provider.WearableCalendarContract,73.29%,0
android.support.design.widget.DescendantOffsetUtils,androidx.databinding.adapters.ViewBindingAdapter,73.31%,0
android.support.test.espresso.remote.internal.deps.guava.cache.AbstractCache,androidx.test.espresso.remote.internal.deps.guava.cache.LongAddable,73.68%,0
android.support.test.espresso.core.internal.deps.guava.cache.AbstractCache,androidx.test.espresso.core.internal.deps.guava.cache.LongAddable,73.68%,0
android.support.test.espresso.web.internal.deps.guava.cache.AbstractCache,androidx.test.espresso.web.internal.deps.guava.cache.LongAddable,73.68%,0
android.support.media2.MediaItem2,androidx.media2.MediaItem2Parcelizer,73.72%,0
android.support.wearable.view.GridViewPager,androidx.compose.ui.node.MyersDiffKt,73.89%,0
android.support.wearable.complications.IPreviewComplicationDataCallback,androidx.health.services.client.impl.internal.IExerciseInfoCallback,74.23%,0
android.support.design.internal.FlexLine,androidx.compose.runtime.BitwiseOperatorsKt,74.66%,0
android.support.wearable.watchface.WatchFaceService,androidx.media3.extractor.text.ssa.SsaStyle,74.79%,0
android.support.v4.media.session.MediaControllerCompatApi21,kotlin.jvm.internal.MagicApiIntrinsics,74.92%,0
android.support.design.internal.SnackbarContentLayout,androidx.wear.tiles.renderer.internal.RatioViewWrapper,75.03%,0
android.support.design.widget.SnackbarContentLayout,androidx.wear.tiles.renderer.internal.RatioViewWrapper,75.03%,0
android.support.wearable.complications.IProviderInfoService,androidx.privacysandbox.ui.core.IRemoteSessionController,75.05%,0
android.support.media2.Rating2,androidx.media2.Rating2Parcelizer,75.22%,0
android.support.wearable.complications.ComplicationProviderInfo,androidx.car.app.utils.StringUtils,75.50%,0
android.support.wearable.complications.rendering.ComplicationStyle,androidx.compose.runtime.BitwiseOperatorsKt,75.59%,0
android.support.wearable.complications.IComplicationManager,androidx.privacysandbox.ui.core.IRemoteSessionController,75.79%,0
android.support.design.widget.HideBottomViewOnScrollBehavior,androidx.databinding.adapters.ViewBindingAdapter,75.84%,0
android.support.design.shape.CutCornerTreatment,androidx.core.content.res.CamColor,75.99%,0
android.support.wearable.view.Func,androidx.media3.common.util.RepeatModeUtil,75.99%,0
android.support.test.internal.util.ProcessUtil,androidx.benchmark.Shell,76.00%,0
android.support.wearable.view.drawer.ViewDragHelper,androidx.compose.ui.node.MyersDiffKt,76.21%,0
android.support.wearable.view.ResourcesUtil,androidx.slice.widget.SliceViewUtil,76.51%,0
android.support.media2.MediaSessionService2ImplBase,androidx.constraintlayout.motion.widget.Debug,76.62%,0
android.support.test.internal.runner.listener.CoverageListener,androidx.test.internal.runner.coverage.InstrumentationCoverageReporter,76.70%,0
android.support.v4.media.AudioAttributesImplApi21,androidx.media.AudioAttributesImplApi21Parcelizer,76.77%,0
android.support.wearable.watchface.IWatchFaceUpdateDecompositionCallback,androidx.privacysandbox.ui.core.ISandboxedUiAdapter,77.22%,0
android.support.media2.PlaybackParams2,androidx.media2.PlaybackParams,77.35%,1
android.support.test.espresso.web.internal.deps.guava.util.concurrent.AbstractCatchingFuture,androidx.test.espresso.web.internal.deps.guava.util.concurrent.AbstractTransformFuture,77.68%,0
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.AbstractCatchingFuture,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.AbstractTransformFuture,77.68%,0
android.support.test.internal.util.AndroidRunnerParams,androidx.test.internal.util.AndroidRunnerParams,78.40%,1
android.support.constraint.motion.utils.StopLogic,androidx.constraintlayout.motion.utils.StopLogic,78.46%,1
android.support.design.shape.ShapePath,androidx.animation.AnimationVectorsKt,78.50%,0
android.support.v4.media.MediaMetadataCompatApi21,android.databinding.tool.util.Preconditions,78.52%,0
android.support.design.widget.ViewUtilsLollipop,androidx.wear.tiles.renderer.RatioViewWrapper,78.58%,0
android.support.design.card.MaterialCardView,androidx.wear.tiles.renderer.internal.ImageViewWithoutIntrinsicSizes,78.69%,0
android.support.design.animation.ArgbEvaluatorCompat,kotlin.math.MathKt__MathJVMKt,78.83%,0
android.support.design.shape.RoundedCornerTreatment,androidx.compose.material.icons.rounded.WaterKt,79.12%,0
android.support.wearable.watchface.accessibility.ContentDescriptionLabel,androidx.wear.watchface.ContentDescriptionLabel,79.33%,1
android.support.wearable.complications.ComplicationTextUtils,android.databinding.tool.util.ParserHelper,79.41%,0
android.support.design.widget.MathUtils,androidx.compose.ui.graphics.MatrixKt,79.61%,0
android.support.design.internal.FlexboxLayout,androidx.compose.ui.node.MyersDiffKt,79.68%,0
android.support.media2.MediaMetadata2,androidx.media2.MediaMetadata,79.72%,1
android.support.test.internal.runner.junit4.AndroidJUnit4Builder,androidx.test.internal.runner.junit4.AndroidJUnit4Builder,80.10%,1
android.support.test.internal.runner.junit3.AndroidTestSuite,androidx.test.internal.runner.junit3.AndroidTestSuite,80.10%,1
android.support.design.canvas.CanvasCompat,androidx.wear.compose.material.ScalingLazyColumnMeasureKt,80.14%,0
android.support.wearable.watchface.decompositionface.CoordConverter,androidx.compose.ui.graphics.RectHelper_androidKt,80.25%,0
android.support.wearable.view.BoxInsetLayout,androidx.compose.ui.node.MyersDiffKt,80.47%,0
android.support.constraint.motion.SplineSet,androidx.constraintlayout.core.motion.utils.SplineSet,81.00%,1
android.support.wearable.watchface.accessibility.AccessibilityUtils,androidx.wear.complications.data.DataKt,81.04%,0
android.support.v4.media.AudioAttributesCompatParcelizer,androidx.media.AudioAttributesCompatParcelizer,81.12%,1
android.support.test.espresso.remote.internal.deps.protobuf.ProtocolStringList,androidx.datastore.preferences.protobuf.ProtocolStringList,81.65%,1
android.support.design.widget.HeaderScrollingViewBehavior,androidx.wear.tiles.renderer.internal.RatioViewWrapper,81.86%,0
android.support.design.bottomappbar.BottomAppBarTopEdgeTreatment,androidx.ui.text.style.BaselineShiftKt,82.08%,0
android.support.wearable.phone.PhoneDeviceType,com.google.android.wearable.playstore.PlayStoreAvailability,82.09%,0
android.support.v4.media.MediaMetadataCompat,kotlin.jvm.internal.FunctionImpl,82.20%,0
android.support.design.internal.FlowLayout,androidx.wear.tiles.renderer.internal.RatioViewWrapper,82.45%,0
android.support.media2.SessionCommand2,androidx.media2.SessionCommand2Parcelizer,82.55%,0
android.support.media2.MediaLibrarySessionImplBase,androidx.media2.session.MediaLibrarySessionImplBase,82.79%,1
android.support.wearable.watchface.Constants,androidx.navigation.dynamicfeatures.Constants,82.80%,0
android.support.design.ripple.RippleUtils,androidx.compose.runtime.SlotTableKt,83.02%,0
android.support.design.resources.MaterialResources,androidx.slice.widget.SliceViewUtil,83.14%,0
android.support.wearable.complications.ComplicationProviderService,androidx.wear.complications.ComplicationProviderService,83.84%,1
android.support.wearable.complications.IComplicationProvider,androidx.privacysandbox.ui.core.ISandboxedUiAdapter,84.11%,0
android.support.test.internal.util.ReflectionUtil,androidx.test.services.speakeasy.client.ToolConnection,84.37%,0
android.support.test.internal.runner.junit3.AndroidTestResult,androidx.test.internal.runner.junit3.AndroidTestResult,84.40%,1
android.support.design.internal.FlexboxHelper,androidx.compose.ui.node.MyersDiffKt,84.79%,0
android.support.test.espresso.remote.internal.deps.protobuf.AbstractMutableMessageLite,androidx.test.espresso.remote.internal.deps.protobuf.AbstractMutableMessageLite,84.88%,1
android.support.design.internal.ViewUtils,androidx.ui.graphics.AndroidBlendModeKt,85.13%,0
android.support.test.internal.runner.listener.ActivityFinisherRunListener,androidx.test.internal.runner.listener.ActivityFinisherRunListener,85.21%,1
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.Futures,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.Futures,85.29%,1
android.support.test.espresso.web.internal.deps.guava.util.concurrent.Futures,androidx.test.espresso.web.internal.deps.guava.util.concurrent.Futures,85.29%,1
android.support.test.internal.runner.junit4.statement.UiThreadStatement,androidx.test.internal.runner.junit4.statement.UiThreadStatement,85.55%,1
android.support.wearable.watchface.IWatchFaceService,androidx.media2.IMediaController,85.59%,0
android.support.test.espresso.remote.internal.deps.protobuf.GeneratedMessageInfoFactory,androidx.test.espresso.remote.internal.deps.protobuf.GeneratedMessageInfoFactory,85.90%,1
android.support.design.internal.ThemeEnforcement,androidx.slice.widget.SliceViewUtil,85.97%,0
android.support.test.espresso.remote.internal.deps.protobuf.ProtobufArrayList,androidx.test.espresso.remote.internal.deps.protobuf.ProtobufArrayList,86.23%,1
android.support.wearable.notifications.BridgingManager,androidx.wear.phone.interactions.notifications.BridgingManager,86.28%,1
android.support.v4.media.AudioAttributesImplBase,androidx.media.AudioAttributesImplBase,82.98%,1
android.support.v4.os.IResultReceiver2,androidx.health.services.client.impl.internal.IExerciseInfoCallback,86.83%,0
android.support.media2.ConnectedControllersManager,androidx.media2.ConnectedControllersManager,86.95%,1
android.support.design.internal.BaselineLayout,androidx.wear.tiles.renderer.internal.RatioViewWrapper,87.11%,0
android.support.customtabs.trusted.ITrustedWebActivityService,androidx.health.services.client.impl.IPassiveMonitoringApiService,87.24%,0
android.support.media2.MediaSessionLegacyStub,androidx.media2.MediaSessionLegacyStub,87.55%,1
android.support.wearable.complications.rendering.ComplicationDrawable,androidx.wear.watchface.complications.rendering.ComplicationDrawable,87.91%,1
android.support.test.espresso.core.internal.deps.aidl.Codecs,androidx.test.espresso.core.internal.deps.aidl.Codecs,88.13%,1
android.support.media2.MediaUtils2,androidx.media2.session.MediaUtils,88.87%,1
android.support.customtabs.trusted.ITrustedWebActivityCallback,org.chromium.android_webview.js_sandbox.common.IJsSandboxIsolate,88.94%,0
android.support.test.internal.runner.listener.SuiteAssignmentPrinter,androidx.test.internal.runner.listener.SuiteAssignmentPrinter,88.94%,1
android.support.test.internal.runner.junit3.AndroidJUnit3Builder,androidx.test.internal.runner.junit3.AndroidJUnit3Builder,89.02%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.ImmediateFuture,androidx.camera.viewfinder.internal.utils.futures.ImmediateFuture,89.29%,0
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.ImmediateFuture,androidx.camera.viewfinder.internal.utils.futures.ImmediateFuture,89.29%,0
android.support.test.espresso.web.internal.deps.guava.util.concurrent.ImmediateFuture,androidx.camera.viewfinder.internal.utils.futures.ImmediateFuture,89.29%,0
android.support.customtabs.IPostMessageService,org.chromium.android_webview.js_sandbox.common.IJsSandboxIsolate,89.42%,0
android.support.v4.media.session.IMediaControllerCallback,androidx.car.app.activity.renderer.IProxyInputConnection,89.51%,0
android.support.media2.IMediaSession2,androidx.media2.IMediaSession,90.06%,1
android.support.wearable.complications.ProviderChooserIntent,androidx.wear.watchface.ComplicationDataSourceChooserIntent,90.49%,0
android.support.customtabs.ICustomTabsService,androidx.car.app.activity.renderer.IProxyInputConnection,90.66%,0
android.support.test.espresso.web.internal.deps.guava.cache.CacheLoader,androidx.test.espresso.web.internal.deps.guava.cache.CacheLoader,91.11%,1
android.support.test.espresso.core.internal.deps.guava.cache.CacheLoader,androidx.test.espresso.core.internal.deps.guava.cache.CacheLoader,91.11%,1
android.support.test.espresso.remote.internal.deps.guava.cache.CacheLoader,androidx.test.espresso.remote.internal.deps.guava.cache.CacheLoader,91.11%,1
android.support.constraint.motion.TimeCycleSplineSet,androidx.constraintlayout.core.motion.utils.TimeCycleSplineSet,91.17%,1
android.support.test.espresso.web.internal.deps.guava.collect.Collections2,androidx.test.espresso.web.internal.deps.guava.collect.Collections2,91.91%,1
android.support.test.espresso.remote.internal.deps.guava.collect.Collections2,androidx.test.espresso.remote.internal.deps.guava.collect.Collections2,91.91%,1
android.support.test.espresso.core.internal.deps.guava.collect.Collections2,androidx.test.espresso.core.internal.deps.guava.collect.Collections2,91.91%,1
android.support.design.math.MathUtils,androidx.ui.unit.DpKt,91.93%,0
android.support.wearable.notifications.BridgingConfig,androidx.wear.phone.interactions.notifications.BridgingConfig,92.16%,1
android.support.test.services.shellexecutor.ShellCommandExecutor,androidx.test.services.shellexecutor.ShellCommandExecutor,92.30%,1
android.support.customtabs.ICustomTabsCallback,androidx.media3.session.IMediaController,92.38%,0
android.support.test.internal.runner.AndroidLogOnlyBuilder,androidx.test.internal.runner.AndroidLogOnlyBuilder,92.44%,1
android.support.v4.media.session.IMediaSession,androidx.car.app.activity.renderer.IProxyInputConnection,92.51%,0
android.support.test.espresso.web.internal.deps.guava.base.Strings,androidx.test.espresso.web.internal.deps.guava.base.Strings,92.54%,1
android.support.test.espresso.core.internal.deps.guava.base.Strings,androidx.test.espresso.core.internal.deps.guava.base.Strings,92.54%,1
android.support.test.espresso.remote.internal.deps.guava.base.Strings,androidx.test.espresso.remote.internal.deps.guava.base.Strings,92.54%,1
android.support.test.internal.runner.tracker.UsageTrackerRegistry,androidx.test.internal.runner.tracker.UsageTrackerRegistry,92.65%,1
android.support.test.espresso.web.internal.deps.guava.util.concurrent.InterruptibleTask,androidx.test.espresso.web.internal.deps.guava.util.concurrent.InterruptibleTask,92.70%,1
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.InterruptibleTask,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.InterruptibleTask,92.70%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.InterruptibleTask,androidx.test.espresso.core.internal.deps.guava.util.concurrent.InterruptibleTask,92.70%,1
android.support.test.internal.runner.TestExecutor,androidx.test.internal.runner.TestExecutor,92.74%,1
android.support.constraint.motion.KeyCycleOscillator,androidx.constraintlayout.core.motion.utils.KeyCycleOscillator,92.90%,1
android.support.test.internal.runner.ClassPathScanner,androidx.test.internal.runner.ClassPathScanner,93.02%,1
android.support.wearable.complications.ProviderUpdateRequester,androidx.wear.complications.ProviderUpdateRequester,93.02%,1
android.support.wearable.complications.TimeDependentText,androidx.wear.ongoing.TimeDependentText,93.30%,0
android.support.test.espresso.web.internal.deps.guava.util.concurrent.ListenableFutureTask,androidx.test.espresso.web.internal.deps.guava.util.concurrent.ListenableFutureTask,93.77%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.ListenableFutureTask,androidx.test.espresso.core.internal.deps.guava.util.concurrent.ListenableFutureTask,93.77%,1
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.ListenableFutureTask,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.ListenableFutureTask,93.77%,1
android.support.test.internal.runner.TestRequestBuilder,androidx.test.internal.runner.TestRequestBuilder,94.32%,1
android.support.test.espresso.core.internal.deps.aidl.TransactionInterceptor,androidx.test.espresso.core.internal.deps.aidl.TransactionInterceptor,94.41%,1
android.support.test.espresso.web.internal.deps.aidl.TransactionInterceptor,androidx.test.espresso.web.internal.deps.aidl.TransactionInterceptor,94.41%,1
android.support.wearable.internal.aidl.TransactionInterceptor,androidx.test.espresso.web.internal.deps.aidl.TransactionInterceptor,94.41%,0
android.support.test.runner.internal.deps.aidl.TransactionInterceptor,androidx.test.espresso.web.internal.deps.aidl.TransactionInterceptor,94.41%,0
android.support.test.espresso.remote.internal.deps.aidl.TransactionInterceptor,androidx.test.espresso.remote.internal.deps.aidl.TransactionInterceptor,94.41%,1
android.support.test.espresso.core.internal.deps.guava.collect.CollectPreconditions,androidx.test.espresso.core.internal.deps.guava.collect.CollectPreconditions,94.02%,1
android.support.test.espresso.remote.internal.deps.guava.collect.CollectPreconditions,androidx.test.espresso.remote.internal.deps.guava.collect.CollectPreconditions,94.02%,1
android.support.test.espresso.web.internal.deps.guava.collect.CollectPreconditions,androidx.test.espresso.web.internal.deps.guava.collect.CollectPreconditions,94.02%,1
android.support.test.espresso.core.internal.deps.dagger.internal.Preconditions,androidx.test.espresso.core.internal.deps.dagger.internal.Preconditions,94.51%,1
android.support.test.internal.runner.junit3.NonLeakyTestSuite,androidx.test.internal.runner.junit3.NonLeakyTestSuite,94.68%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.Futures,androidx.test.espresso.core.internal.deps.guava.util.concurrent.Futures,94.80%,1
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.MoreExecutors,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.MoreExecutors,94.83%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.MoreExecutors,androidx.test.espresso.core.internal.deps.guava.util.concurrent.MoreExecutors,94.83%,1
android.support.test.espresso.web.internal.deps.guava.util.concurrent.MoreExecutors,androidx.test.espresso.web.internal.deps.guava.util.concurrent.MoreExecutors,94.83%,1
android.support.media2.IMediaController2,androidx.media2.IMediaController,94.89%,1
android.support.test.internal.util.LogUtil,androidx.test.internal.util.LogUtil,94.92%,1
android.support.test.espresso.web.internal.deps.guava.util.concurrent.GwtFluentFutureCatchingSpecialization,androidx.test.espresso.web.internal.deps.guava.util.concurrent.GwtFluentFutureCatchingSpecialization,95.00%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.GwtFluentFutureCatchingSpecialization,androidx.test.espresso.core.internal.deps.guava.util.concurrent.GwtFluentFutureCatchingSpecialization,95.00%,1
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.GwtFluentFutureCatchingSpecialization,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.GwtFluentFutureCatchingSpecialization,95.00%,1
android.support.media2.AudioFocusHandler,androidx.media2.AudioFocusHandler,95.09%,1
android.support.test.services.shellexecutor.ShellCommandClient,androidx.test.services.shellexecutor.ShellCommandClient,95.18%,1
android.support.test.espresso.web.internal.deps.guava.collect.RegularImmutableMap,com.google.common.collect.RegularImmutableMap,95.20%,0
android.support.test.espresso.core.internal.deps.guava.collect.RegularImmutableMap,com.google.common.collect.RegularImmutableMap,95.20%,0
android.support.test.espresso.remote.internal.deps.protobuf.BlazeGeneratedExtensionRegistryLiteLoader,com.google.protobuf.BlazeGeneratedExtensionRegistryLiteLoader,95.24%,0
android.support.test.espresso.remote.internal.deps.guava.collect.RegularImmutableMap,com.google.common.collect.RegularImmutableMap,95.35%,0
android.support.wearable.complications.ComplicationHelperActivity,androidx.wear.watchface.ComplicationHelperActivity,95.40%,1
android.support.test.espresso.remote.internal.deps.aidl.Codecs,androidx.test.espresso.remote.internal.deps.aidl.Codecs,95.41%,1
android.support.test.espresso.web.internal.deps.aidl.Codecs,androidx.test.espresso.web.internal.deps.aidl.Codecs,95.41%,1
android.support.test.internal.runner.junit4.AndroidJUnit4ClassRunner,androidx.test.internal.runner.junit4.AndroidJUnit4ClassRunner,95.70%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.AbstractTransformFuture,androidx.test.espresso.core.internal.deps.guava.util.concurrent.AbstractTransformFuture,95.79%,1
android.support.test.internal.runner.junit3.DelegatingTestSuite,androidx.test.internal.runner.junit3.DelegatingTestSuite,95.85%,1
android.support.test.internal.runner.junit3.DelegatingTestResult,androidx.test.internal.runner.junit3.DelegatingTestResult,95.96%,1
android.support.test.espresso.remote.internal.deps.protobuf.ExtensionRegistryLite,androidx.test.espresso.remote.internal.deps.protobuf.ExtensionRegistryLite,95.58%,1
android.support.test.internal.statement.UiThreadStatement,androidx.test.internal.statement.UiThreadStatement,96.05%,1
android.support.constraint.motion.KeyTrigger,androidx.constraintlayout.motion.widget.KeyTrigger,96.08%,1
android.support.test.orchestrator.TestRunnable,androidx.test.orchestrator.TestRunnable,96.13%,1
android.support.test.espresso.remote.internal.deps.guava.io.ByteStreams,androidx.test.espresso.remote.internal.deps.guava.io.ByteStreams,96.16%,1
android.support.test.internal.runner.junit3.AndroidSuiteBuilder,androidx.test.internal.runner.junit3.AndroidSuiteBuilder,96.17%,1
android.support.test.espresso.remote.internal.deps.protobuf.MessageLiteToString,androidx.test.espresso.remote.internal.deps.protobuf.MessageLiteToString,96.14%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.ExecutionList,androidx.test.espresso.core.internal.deps.guava.util.concurrent.ExecutionList,96.53%,1
android.support.test.espresso.web.internal.deps.guava.util.concurrent.ExecutionList,androidx.test.espresso.web.internal.deps.guava.util.concurrent.ExecutionList,96.53%,1
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.ExecutionList,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.ExecutionList,96.53%,1
android.support.test.services.shellexecutor.Command,androidx.test.services.shellexecutor.Command,96.55%,1
android.support.test.internal.runner.listener.InstrumentationResultPrinter,androidx.test.internal.runner.listener.InstrumentationResultPrinter,96.58%,1
android.support.test.espresso.remote.internal.deps.protobuf.Protobuf,androidx.test.espresso.remote.internal.deps.protobuf.Protobuf,96.58%,1
android.support.test.internal.runner.tracker.AnalyticsBasedUsageTracker,androidx.test.internal.runner.tracker.AnalyticsBasedUsageTracker,96.58%,1
android.support.test.internal.runner.junit4.AndroidAnnotatedBuilder,androidx.test.internal.runner.junit4.AndroidAnnotatedBuilder,96.69%,1
android.support.test.espresso.core.internal.deps.guava.util.concurrent.SettableFuture,androidx.test.espresso.core.internal.deps.guava.util.concurrent.SettableFuture,96.79%,1
android.support.media2.MediaPlayer2,androidx.media2.MediaPlayer2,96.90%,1
android.support.test.internal.runner.RunnerArgs,androidx.test.internal.runner.RunnerArgs,96.93%,1
android.support.test.services.shellexecutor.ShellCommand,androidx.test.services.shellexecutor.ShellCommand,97.03%,1
android.support.test.espresso.web.internal.deps.guava.collect.ByFunctionOrdering,androidx.test.espresso.web.internal.deps.guava.collect.ByFunctionOrdering,97.07%,1
android.support.test.espresso.remote.internal.deps.guava.collect.ByFunctionOrdering,androidx.test.espresso.remote.internal.deps.guava.collect.ByFunctionOrdering,97.07%,1
android.support.test.espresso.core.internal.deps.guava.collect.ByFunctionOrdering,androidx.test.espresso.core.internal.deps.guava.collect.ByFunctionOrdering,97.07%,1
android.support.test.espresso.core.internal.deps.dagger.internal.DoubleCheck,androidx.test.espresso.core.internal.deps.dagger.internal.DoubleCheck,97.18%,1
android.support.test.internal.util.Checks,org.junit.internal.Checks,97.37%,0
android.support.test.internal.runner.lifecycle.ApplicationLifecycleMonitorImpl,androidx.test.internal.runner.lifecycle.ApplicationLifecycleMonitorImpl,97.41%,1
android.support.test.espresso.web.internal.deps.guava.base.MoreObjects,androidx.test.espresso.web.internal.deps.guava.base.MoreObjects,97.43%,1
android.support.test.espresso.core.internal.deps.guava.base.MoreObjects,androidx.test.espresso.core.internal.deps.guava.base.MoreObjects,97.43%,1
android.support.test.espresso.remote.internal.deps.guava.base.MoreObjects,androidx.test.espresso.remote.internal.deps.guava.base.MoreObjects,97.43%,1
android.support.test.espresso.remote.internal.deps.guava.collect.SingletonImmutableSet,androidx.test.espresso.remote.internal.deps.guava.collect.SingletonImmutableSet,97.25%,1
android.support.test.espresso.core.internal.deps.guava.collect.SingletonImmutableSet,androidx.test.espresso.core.internal.deps.guava.collect.SingletonImmutableSet,97.25%,1
android.support.test.espresso.web.internal.deps.guava.collect.SingletonImmutableSet,androidx.test.espresso.web.internal.deps.guava.collect.SingletonImmutableSet,97.25%,1
android.support.constraint.motion.Key,androidx.constraintlayout.motion.widget.Key,97.50%,1
android.support.test.espresso.web.internal.deps.guava.util.concurrent.AbstractTransformFuture,androidx.test.espresso.web.internal.deps.guava.util.concurrent.AbstractTransformFuture,97.54%,1
android.support.constraint.utils.ImageFilterView,androidx.constraintlayout.utils.widget.ImageFilterView,97.54%,1
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.AbstractTransformFuture,androidx.test.espresso.remote.internal.deps.guava.util.concurrent.AbstractTransformFuture,97.54%,1
android.support.test.espresso.core.internal.deps.guava.collect.ImmutableMap,androidx.test.espresso.core.internal.deps.guava.collect.ImmutableMap,97.65%,1
android.support.test.espresso.remote.internal.deps.guava.collect.ImmutableMap,androidx.test.espresso.remote.internal.deps.guava.collect.ImmutableMap,97.65%,1
android.support.test.espresso.web.internal.deps.guava.collect.ImmutableMap,androidx.test.espresso.web.internal.deps.guava.collect.ImmutableMap,97.65%,1
android.support.test.espresso.remote.internal.deps.guava.collect.Platform,androidx.test.espresso.remote.internal.deps.guava.collect.Platform,97.71%,1
android.support.test.espresso.core.internal.deps.guava.collect.Platform,androidx.test.espresso.core.internal.deps.guava.collect.Platform,97.71%,1
android.support.test.espresso.web.internal.deps.guava.collect.Platform,androidx.test.espresso.web.internal.deps.guava.collect.Platform,97.71%,1
android.support.test.services.speakeasy.client.FindResultReceiver,androidx.test.services.speakeasy.client.FindResultReceiver,97.73%,1
android.support.test.orchestrator.listeners.OrchestrationResultPrinter,androidx.test.orchestrator.listeners.OrchestrationResultPrinter,97.74%,1
android.support.constraint.utils.ImageFilterButton,androidx.constraintlayout.utils.widget.ImageFilterButton,97.86%,1
android.support.test.services.speakeasy.client.PublishResultReceiver,androidx.test.services.speakeasy.client.PublishResultReceiver,97.94%,1
android.support.test.espresso.remote.internal.deps.guava.base.Platform,androidx.test.espresso.remote.internal.deps.guava.base.Platform,96.76%,1
android.support.test.espresso.core.internal.deps.guava.base.Platform,androidx.test.espresso.core.internal.deps.guava.base.Platform,96.76%,1
android.support.test.espresso.web.internal.deps.guava.base.Platform,androidx.test.espresso.web.internal.deps.guava.base.Platform,96.76%,1
android.support.test.espresso.remote.internal.deps.protobuf.MapEntryLite,androidx.test.espresso.remote.internal.deps.protobuf.MapEntryLite,98.00%,1
android.support.media2.MediaPlayer2Impl,androidx.media2.MediaPlayer2Impl,98.15%,1
android.support.test.internal.runner.listener.DelayInjector,androidx.test.internal.runner.listener.DelayInjector,98.16%,1
android.support.test.services.speakeasy.server.SpeakEasyContentProvider,androidx.test.services.speakeasy.server.SpeakEasyContentProvider,98.17%,1
android.support.test.espresso.web.internal.deps.guava.collect.Sets,androidx.test.espresso.web.internal.deps.guava.collect.Sets,98.18%,1
android.support.test.espresso.remote.internal.deps.guava.collect.Sets,androidx.test.espresso.remote.internal.deps.guava.collect.Sets,98.18%,1
android.support.test.espresso.core.internal.deps.guava.collect.Sets,androidx.test.espresso.core.internal.deps.guava.collect.Sets,98.18%,1
android.support.test.espresso.remote.internal.deps.protobuf.FieldInfo,androidx.test.espresso.remote.internal.deps.protobuf.FieldInfo,98.19%,1
